Course Code,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link to Course Plan,Preferred Knowledge Equivalent to,Remark,Minor in,HSS/BS elective
CH 635,Chemical Crystallography,2,0,1,4,Vijay Thiruvenkatam(I+L),,,,"J1,J2
 (7/201)",,"N2
(CH Lab)",,,,,
CH 636,Statistical Thermodynamics and its Applications in Chemistry,3,0,0,4,Anirban Mondal(I),,,,"L1,L2
 (7/207)",,,,,,,
Additional courses MA,,,,,,,,,,,,,,,,,
MA 501,Basic Algebra,3,1.5,0,4,Arnab Saha(I+T),,,,"C1,C2
 (7/103)","G2
 (1/101)",,,,,,
MA 504,Introduction to Linear Algebra,3,1.5,0,4,Projesh Nath Choudhury(I+T),,,,"B1,B2
 (7/209)","M1
 (10/102)",,,,,,
MA 509,Topics in Real Analysis,3,1.5,0,4,Chetan Pahlajani(I+T),,,,"A1,A2
 (7/202)","M2
 (7/102)",,,,,,
MA 510,Topology,3,1.5,0,4,Sanjay Amrutiya(I+T),,,,"L1,L2
 (7/205)","G1
 (7/108)",,,,,,
MA 601,"Applied Linear Algebra, Probability and Statistics",3,1.5,0,4,V D Sharma(I+T),,,,"E1,E2
 (7/109)","G1
 (7/209)",,,,,,
MA 605,Commutative Algebra,3,0,0,4,J.K. Verma(I),,,,"N1,N2
 (7/201)",,,,,,,
MA 624,Partial Differential Equations,3,1.5,0,4,Jagmohan Tyagi(I+T),,,,"D1,D2
 (7/207)","J2
 (7/101)",,,,,,
MA 626,Functional Analysis,3,1.5,0,4,Prof. Gadadhar Misra(I+T),,,,"K1,K2
(7/209)","H2
(7/108)",,,,,,
MA 627,Algebraic Topology,3,0,0,4,Indranath Sengupta(I),,,,"I1,I2
(7/205)",,,,,,,
MA 630,Probability Theory,3,0,0,4,Chetan Pahlajani(I),,,,"F1,F2
 (7/203)",,,,,,,
MA 634,Algebraic Number Theory,3,0,0,4,Akshaa Vatwani(I),,,,"J1,J2
 (7/109)",,,,,,,
MA 638,Matrix Lie Groups,3,0,0,4,Bipul Saurabh(I),,,,"P1,P2
 (7/205)",,,,,,,
,,,,,,,,,,,,,,,,,
Additional courses PH,,,,,,,,,,,,,,,,,
ES 410,Introduction to Inverse Modelling in Physical Sciences,3,0,0,4,Anand Sengupta(I),,,,"F1,F2
 (7/109)",,,Link to Course Plan,"I will assume that students taking this elective course are comfortable with the following topics
Multivariate calculus
Linear algebra
Multivariate statistics

This course will be pitched at an advanced UG level (BTech 4th year, MSc level). ","Must be comfortable with the following topics: 
1. Multivariate statistics
2. Linear algebra
3. Multivariate calculus
4. Python programming.",,
PH 502,Mathematical Methods of Physics - I,3,1,0,4,Ravinder Puri(I+T),,,,"E1,E2
 (7/209)","H1
 (10/103)",,,,,,
PH 503,Quantum Mechanics I,3,1,0,4,Baradhwaj Coleppa(I+T),,,,"F1,F2
 (7/207)","M1
 (7/204)",,,,,,
PH 505,Classical Electrodynamics,3,1,0,4,Sudipta Sarkar(I+T),,,,"A1,A2
 (7/107)","G2
 (7/202)",,,,,,
PH 508,Classical Mechanics,3,0,0,4,Rusa Mandal(I),,,,"B1,B2
 (1/102)",,,,,,,
PH 510,Condensed Matter Physics,3,1,0,4,Chandan Kumar Mishra(I+T),,,,"I1,I2
 (7/207)","G1
 (7/203)",,,,,,
PH 605,Topics in Classical Mechanics and Electrodynamics,3,0,0,4,Urjit Yajnik(I),,,,"P1,P2
 (7/204)",,,,,,,
PH 609,Introduction to Einstein’s Theory of General Relativity,3,1,0,4,Arpan Bhattacharyya(I+T),,,,"N1,N2
 (7/110)","M2
 (7/101)",,Course Plan,Knowledge of M.Sc level electrodynamics and classical mechanics required. Also basic understanding of special relativity is needed. ,I will assume that students possess at least 1st year M.Sc level physics knowledge.  ,,
PH 610,Quantum Field Theory I,3,0,0,4,Vinod Chandra(I),,,,"E1,E2
 (7/204)",,,,,,,
PH 611,X-ray Scattering: Concepts and Applications,3,0,0,4,Rupak Banerjee(I),,,,"I1,I2
(7/110)",,,,,,,
PH 614,Atomic and Molecular Physics,3,0,0,4,Gopinadhan Kalon(I),,,,"D1,D2
 (7/101)",,,,,,,
PH 645,Topics in Soft and Active Matter Physics,3,0,0,4,Krishnakanti Dey(I),,,,"K1,K2
 (7/105)",,,,,,,
PH 646,Advanced Statistical Physics,3,0,0,4,Ravinder Puri(I),,,,"C1,C2
 (7/101)",,,,,,,
Additional Course EH,,,,,,,,,,,,,,,,,
EH 601,Earth Surface Processes in the Anthropocene,3,0,1.5,4,Vikrant Jain(I+L),,,,"P1,P2
 (7/105)",,"J1
(10/102)",,,,,
EH 605,Modeling of Earth System and Sustainability,3,0,0,4,R. N. Singh(I),,,,"L1,L2
 (7/206)",,,,,,,
EH 608,Biodiversity Conservation and Sustainable Development.,3,0,0,4,C N Pandey(I),,,,"M1,M2
 (7/108)",,,,,,,
EH 614,Physics of the Lithosphere,3,0,0,4,Utsav Mannu(I),,,,"J1,J2
 (7/204)",,,,,,,
EH XXX,Sequence Stratigraphy,0,0,3,4,Pankaj Khanna(L),,,,"P2
(10/102)",,"J2,M2
(10/102)",,,,,
EH xxx,Geodynamic Modelling Lab,0,0,6,4,Utsav Mannu(L),,,,,,"D1,G1,D2,F2
(10/104)",,,,,
EH xxx,Microwave Remote Sensing,3,0,0,4,P. C. Pandey(I),,,,"L1,L2
 (7/110)",,,,,,,
Additional Courses CG,,,,,,,,,,,,,,,,,
CG 501,Computation and Cognition,3,0,0,4,Krishna Miyapuram(I),,,,"C1,C2
(7/206)",,,,,,,
CG 503,Fundamentals of Cognitive Psychology,3,0,0,4,Meera Mary Sunny(I),,,,"F1,F2
 (10/102)",,,,,,,
CG 504,Research Methods in Cognitive Science,1.5,0,1.5,4,Pratik Mutha(I+L),,,,"B1,B2
 (7/106)",,,,,,,
CG 505,Fundamental Neuroscience,3,0,0,4,Leslee Lazar(I),,,,"I1,I2
 (7/105)",,,,,,,
CG 603,Perception and Attention,3,0,0,4,Meera Mary Sunny(I),,,,"G1,G2
 (7/109)",,,,,,,
CG 606,Philosophy of Mind,3,0,0,4,Jaison Manjaly(I),,,,"E1,E2
 (7/202)",,,,,,,
CG 612,Neural Plasticity,3,0,0,4,Leslee Lazar(I),,,,"F1,F2
 (7/206)",,,,,,,
CG 691-III,Special Topics in Cognitive Science: Brain Imaging Methods,3,0,0,4,Krishna Miyapuram(I),,,,"D1,D2
 (7/103)",,,,,,,
CG xxx,Special Topics in Cognitive Science: Language and Brain,3,0,0,4,Jooyoung Kim(I),,,,"M1,M2
(7/209)",,,Course Plan,,,,
"Additional Courses Design, HSS, Management",,,,,,,,,,,,,,,,,
FP 602,Writing (PG),1,0,3,4,Sharmita Lahiri(I+L),,,,"F1
 (10/103)",,"D1,D2
 (7/106,7/110,7/201,7/204,7/205,7/206,7/210,7/107)",,,,,
IN 304,Ancient Indian Technologies,3,0,0,4,Alok Kumar Kanungo(I),,,,"N1,N2
 (7/102)",,,,,,,
HS 111,Urdu Script & Poetry,3,1,0,4,Mohd. Mubashshir Ahsan(I+T),,,,"K1,K2
 (7/106)","J1
 (7/101)",,,,,,
HS 112,Urdu Poetry Interpretation,3,1,0,4,Mohd. Mubashshir Ahsan(I+T),,,,"P1,P2
 (7/110)","G1
 (1/102)",,,,,,
HS 191-I,Special Topics in HSS: Mandarin for Beginners,3,0,0,4,Hao -Tsung Kao(I),,,,"N1,N2
(7/210)",,,,,,,
HS 191-III,Special Topics in HSS: Mandarin for Beginners 2,3,0,0,4,Hao -Tsung Kao(I),,,,"L1,L2
(10/102)",,,,,,,
MS 408,Financial Considerations in Engineering Decisions,3,0,0,4,Chelvakumar K(I),,,,"P1,P2
(7/208)",,,Course Description,,,,
HS 425,Introduction to Archaeology,3,0,0,4,Sharada Channarayapatna(I),,,,"I1,I2
 (10/102)",,,,,,,
IN 491,Special Topics: Foundations of User Experience,3,0,0,4,Nuno Guimaraes(I),,,,"N1,N2
 (Online)",,,Course Description (as of 2024-06-16),,ONLINE COURSE,,
MS 491,Special topics in Management: Marketing Analytics,3,0,0,4,Marcos Severos(I),,,,"P1,P2
(Online)",,,,,,,
MS 491-I,Special Topics in Management: Product Management,3,0,0,4,Deep Kumar Verma(I),,,,"P1,P2
(7/107)",,,,,,,
MS 491-XI,Special Topics in Management: Business Strategy,3,0,0,4,Monika Bhandari(I),,,,"J1,J2
(7/209)",,,,,,,
MS 492-IV,Special Topics in Management: Business Ethics and Responsible Leadership,3,0,0,2,Ramachandran Veettikazhi(I),,,,"L1,L2
(7/107)",,,,,,,
HS 510,Perspectives of Indian Civilisation,3,0,0,4,Alok Kumar Kanungo(I),,,,"E1,E2
 (1/102)",,,,,,,
HS 517 ,Literary Experiment in European Modernism,3,0,0,4,Arka Chattopadhyay(I),,,,"I1,I2
(7/102)",,,,,,,
HS 520,Ancient Indian Architecture,2,1,0,4,V N Prabhakar(I+T),,,,"M1,M2
 (7/202)",,,,,,,
HS 524,Qualitative Research Methods,3,0,0,4,"Nishaant Choksi(I), Aashish Xaxa(I)",,,,"C1,C2
 (5/202)",,,,,,,
HS 591-VI,Special Topics in HSS: Introduction to the Learning Sciences,3,0,0,4,Aditi Kothiyal(I),,,,"J1,J2
 (7/205)",,,,,,,
DES 601,Visual Design for Academia,1.5,0,3,4,Sameer Sahasrabudhe(I+L),,,,"L1
 (7/101)",,"K2,L2
(7/202)",,,,,
HS 610,Critical Journey through Select Thoughts and Theories,3,0,0,4,Arnapurna Rath(I),,,,"K1,K2
 (7/110)",,,,,,,
HS 633,Scarred Nations : Partition in the Indian subcontinent,3,0,0,4,Madhumita Sengupta(I),,,,"J1,J2
 (7/105)",,,,,,,
HS 649,Public Policy and its Impact Evaluation,3,1,0,4,Deepak Singhania(I+T),,,,"M1,M2
 (7/109)","J1
 (10/204)",,https://drive.google.com/file/d/11wNi6dm5UFM04RR7NgYVGi-iEi7qFTGi/view?usp=sharing,,,,
HS 651,Critical Perspectives in Sociology,3,0,0,4,Aashish Xaxa(I),,,,"B1,B2
 (1/101)",,,,,,,
HS 652,"Reading Philosophy: Classical, Contemporary and Global Perspectives",3,0,0,4,Angus McBlane(I),,,,"A1,A2
 (7/105)",,,,,,,
HS 654,Mixed Methods in Research,3,0,0,2,Aditi Kothiyal(I),,,,"N1,N1
 (7/106)",,,,,,,
DES 691,Special Topics in Design: Design for Discretive Needs,3,0,0,4,Aditi Kothiyal(I),,,,"P1,P2
 (7/201)",,,,,,,
DES 691-II,Special Topics in Design: Designing Learning Environments for Science and Engineering ,3,0,0,4,Aditi Kothiyal(I),,,,"P1,P2
 (7/201)",,,,,,,
HS 491-XI,Special Topics in HSS: Understanding and Designing Comics and Graphic Novels,3,0,0,4,Argha Manna(I),,,,"M1,M2
(1/102)",,,,,,,
HS xxx,Academic Communication: Argumentation and Reasoning (Half-semester),3,0,0,2,Jooyoung Kim(I),,,,"P1,P2
 (7/102)",,,Course Plan ,,,,
HS 691-VIII,Semiotic Anthropology (Special Topics),3,0,0,4,Nishaant Choksi(I),,,,"M1,M2
 (7/203)",,,,,,,
