Course Code,Course Name,L,T,P,C,Name of the Instructors and Tutors,Capacity,Number of Students,Sections,Lecture,Tutorial,Lab,Link to Course Plan,Preferred Knowledge Equivalent to,Remark,Minor in,HSS/BS elective
BS 192,Undergraduate Science Laboratory,0,0,3,3,"Krista Khaingte(L),Naveen Sisodia(L)",,,,,,"I1,K1,J1,L1,I2,M1,K2,L2,J2,M2
 (PH Lab)",,,,,
CL 313,Chemical Reaction Engineering-II,2,1,0,3,Chinmay Ghoroi(I+T),,,,"E1,E2
 (7/102)",,,,,,,
CL 314,Separation Processes -I,2,1,0,3,Sameer Dalvi(I+T),,,,"D1,D2
 (7/203)",,,,,,,
CL 315,Process Dynamics and Control,2,1,0,3,Nitin Padhiyar(I+T),,,,"F1,F2
 (7/202)",,,,,,,
CL 326,Integrated Chemical Engineering Lab-I,0,0,4.5,3,Karthik Subramaniam(L),,,,,,"I1,K1,H1
 (CL Lab)",,,,,
HS XXX,HSS Elective,,,,4,,,,,,,,,,,,
,Open Project Course,,,,4,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
7th Sem Chemical Engineering,,,,,,,,,,,,,,,,,
CL 425,Process Synthesis and Design,3,1,0,4,Hari Ganesh(I+T),,,,"E1,E2
 (7/107)","F1
 (7/105)",,,,,,
CL 451,Process Dynamics and Control Lab,0,0,3,2,Biswajit Saha(L),,,,,,"J1,L1
(CL Lab)",,,,,
HS XXX,HS Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
5th Sem Civil Engineering,,,,,,,,,,,,,,,,,
HS 151,Economics,3,1,0,4,Deepak Singhania(I+T),,,,"C1,C2
 (Jasubhai Auditorium)",,"N1
 (Jasubhai Auditorium,1/103)",,,,,
BS 192,Undergraduate Science Laboratory,0,0,3,3,"Krista Khaingte(L),Naveen Sisodia(L)",,,,,,"I1,K1,J1,L1,I2,M1,K2,L2,J2,M2
 (PH Lab)",,,,,
CE 301,Soil Mechanics,3,1,2,5,"Amit Prashant(I+T),Ajanta Sachan(L)",,,,"E1,E2
 (7/210)","H1
 (7/106)","I1,K1
 (CE Lab)",,,,,
CE 312,Design of Steel Structures,3,1,0,4,Dhiman Basu(I+T),,,,"F1,F2
 (7/204)","G1
 (7/202)",,,,,,
CE 308,Water Resource Engineering,2,0,3,4,Udit Bhatia(I+L),,,,"A1,A2
 (7/101)",,"K2,L2
(7/204)",,,,,
CE 404,Transportation Engineering,3,0,0,4,Sushobhan Sen(I),,,,"D1,D2
 (7/108)",,,,,,,
HS XXX,HSS Elective,3,0,0,4,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
,Open Project Course,0,0,0,4,,,,,,,,,,,,
7th Sem Civil Engineering,,,,,,,,,,,,,,,,,
CE 401,Comprehensive Project - 1,0,0,3,4,Dhiman Basu(I),,,,,,"K2,L2
(7/102)",,,,,
HS XXX,HSS Elective,,,,,,,,,,,,,,,,
,BS Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
5th Sem Computer Science and Engineering,,,,,,,,,,,,,,,,,
HS 151,Economics,3,1,0,4,Deepak Singhania(I+T),,,,"C1,C2
 (Jasubhai Auditorium)",,"N1
 (Jasubhai Auditorium,1/103)",,,,,
BS 192,Undergraduate Science Laboratory,0,0,3,3,"Krista Khaingte(L),Naveen Sisodia(L)",,,,,,"I1,K1,J1,L1,I2,M1,K2,L2,J2,M2
 (PH Lab)",,,,,
CS 202,Software Tools & Techniques,1.5,0,3,4,"Yogesh Meena(I+L),Shouvick Mondal(I+L)",,,,"E1
 (7/108)",,"I1,K1
(10/104,10/105)",,,,,
ES 215,Computer Organization and Architecture,3,1,0,4,"Rajat Moona(I),Sameer Kulkarni(T)",,,,"B1,B2
 (7/108)","H1
 (1/101)",,,,,,
CS 329,Foundations of AI: Multiagent Systems,3,0,0,4,"Manisha Padala(I),Neeldhara Misra(I)",,,,"F1,F2
 (10/201)",,,,,,,
HS 3XX,HSS Elective,,,,4,,,,,,,,,,,,
,Open Project Course,,,,4,,,,,,,,,,,,
IN 105,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
7th Sem Computer Science and Engineering,,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
,Open Elective,,,,,,,,,,,,,,,,
HS 3XX,HSS Elective,,,,,,,,,,,,,,,,
IN 107,Comprehensive Viva Voce,0,0,0,0,,,,,,,,,,,,
5th Sem Electrical Engineering,,,,,,,,,,,,,,,,,
HS 151,Economics,3,1,0,4,Deepak Singhania(I+T),,,,"C1,C2
 (Jasubhai Auditorium)",,"N1
 (Jasubhai Auditorium,1/103)",,,,,
BS 192,Undergraduate Science Laboratory,0,0,3,3,"Krista Khaingte(L),Naveen Sisodia(L)",,,,,,"I1,K1,J1,L1,I2,M1,K2,L2,J2,M2
 (PH Lab)",,,,,
EE 312,Engineering Electromagnetics,3,1,0,4,Ravi Hegde(I+T),,,,"D1,D2
 (10/202)","H1
 (1/102)",,,,,,
